num,stock,big,profit,p,share
2606,裕民,0.75,0.0011 ,46.6,68.57
2607,榮運,0.15,0.0056 ,18,72.59
2608,大榮,-0.34,0.0376 ,38.6,87.55
2609,陽明,2.84,0.1937 ,16.95,71.61
2610,華航,3.4,0.1784 ,14.2,79.67
2611,志信,-0.32,0.1944 ,10.75,76.48
2612,中航,-0.11,-0.0195 ,32.65,67.22
2613,中櫃,-0.21,0.0244 ,18.9,61.36
2614,東森,-0.27,-0.0048 ,10.45,49.6
2615,萬海,1.77,0.5578 ,35.05,92.58
2616,山隆,0.12,0.0383 ,24.4,68.41
2617,台航,-1.74,-0.0397 ,20.55,72.23
2618,長榮航,3.18,0.1467 ,21.1,83.17
2636,台驊國際,3.13,0.5183 ,41.45,60.64
2637,KY慧洋,-0.97,0.0700 ,37.45,76.23
2637,F慧洋,-0.97,0.0700 ,37.45,76.23
2702,華園,-0.24,0.0031 ,16.25,72.15
2704,國賓,1.05,0.0036 ,27.7,80.29
2705,六福,-0.64,0.0459 ,11.4,50.71
2707,晶華,-0.55,0.0478 ,328.5,77.95
2723,KY美食,-0.66,-0.0556 ,161.5,91.57
2723,F美食,-0.66,-0.0556 ,161.5,91.57
2727,王品,-0.91,-0.0819 ,274.5,58.17
2731,雄獅,-0.08,0.0000 ,94.5,74.4
2903,遠百,-0.51,-0.0219 ,26.8,77.19
2904,匯僑,0.29,0.0491 ,27.8,52.34
2905,三商行,0.26,0.2260 ,21.7,80.81
2906,高林,0.94,0.0580 ,14.6,66.85
2908,特力,0.46,0.0049 ,20.4,82.66
2910,統領,0.12,0.0354 ,36.6,98.1
2911,麗嬰房,-0.4,-0.0265 ,16.5,51.9
2912,統一超,-0.26,0.0973 ,248,91.2
2913,農林,-1.93,0.0642 ,17.4,50.93
2915,潤泰全,0.57,0.0490 ,66.4,83.12
2916,滿心企業,0.43,0.0141 ,18,70.98
2923,F鼎固,0.06,0.1037 ,26.6,99.47
3002,歐格,0.69,0.1269 ,15.1,67.69
3003,健和興,-1.18,0.1461 ,40,66.85
3004,豐達科,-2.56,-0.0756 ,50.1,65
3005,神基,4.82,0.2283 ,19.1,63.83
3006,晶豪科,-4.38,0.0971 ,50.3,40.86
3008,大立光,-0.75,0.2191 ,2615,58.91
3010,華立,-0.37,0.0380 ,54.7,65.46
3011,今皓,-0.27,0.1555 ,11,37.07
3013,晟銘電,-0.04,0.2023 ,26.45,67.94
3014,聯陽,-2.9,0.2636 ,40.75,34.46
3015,全漢,0.05,0.0627 ,27.1,61.53
3016,嘉晶,0.42,-0.0175 ,16.85,46.51
3017,奇鋐,-3.63,0.1845 ,24.4,52.54
